matchweek,position,team,league,season
21,13,Augsburg,Bundesliga,2025/2026
21,14,Mainz,Bundesliga,2025/2026
21,15,Wolfsburg,Bundesliga,2025/2026
21,16,Werder Bremen,Bundesliga,2025/2026
21,17,St. Pauli,Bundesliga,2025/2026
21,18,Heidenheim,Bundesliga,2025/2026
22,1,Bayern Munich,Bundesliga,2025/2026
22,2,Dortmund,Bundesliga,2025/2026
22,3,Hoffenheim,Bundesliga,2025/2026
22,4,Leverkusen,Bundesliga,2025/2026
22,5,Stuttgart,Bundesliga,2025/2026
22,6,Leipzig,Bundesliga,2025/2026
22,7,Frankfurt,Bundesliga,2025/2026
22,8,Freiburg,Bundesliga,2025/2026
22,9,Hamburg,Bundesliga,2025/2026
22,10,Union Berlin,Bundesliga,2025/2026
22,11,Augsburg,Bundesliga,2025/2026
22,12,1.FC Köln,Bundesliga,2025/2026
22,13,Mönchengladbach,Bundesliga,2025/2026
22,14,Mainz,Bundesliga,2025/2026
22,15,Wolfsburg,Bundesliga,2025/2026
22,16,Werder Bremen,Bundesliga,2025/2026
22,17,St. Pauli,Bundesliga,2025/2026
22,18,Heidenheim,Bundesliga,2025/2026
23,1,Bayern Munich,Bundesliga,2025/2026
23,2,Dortmund,Bundesliga,2025/2026
23,3,Hoffenheim,Bundesliga,2025/2026
23,4,Stuttgart,Bundesliga,2025/2026
23,5,Leverkusen,Bundesliga,2025/2026
23,6,Leipzig,Bundesliga,2025/2026
23,7,Freiburg,Bundesliga,2025/2026
23,8,Frankfurt,Bundesliga,2025/2026
23,9,Union Berlin,Bundesliga,2025/2026
23,10,Augsburg,Bundesliga,2025/2026
23,11,Hamburg,Bundesliga,2025/2026
23,12,1.FC Köln,Bundesliga,2025/2026
23,13,Mainz,Bundesliga,2025/2026
23,14,Mönchengladbach,Bundesliga,2025/2026
23,15,Wolfsburg,Bundesliga,2025/2026
23,16,St. Pauli,Bundesliga,2025/2026
23,17,Werder Bremen,Bundesliga,2025/2026
23,18,Heidenheim,Bundesliga,2025/2026
24,1,Bayern Munich,Bundesliga,2025/2026
24,2,Dortmund,Bundesliga,2025/2026
24,3,Hoffenheim,Bundesliga,2025/2026
24,4,Stuttgart,Bundesliga,2025/2026
24,5,Leipzig,Bundesliga,2025/2026
24,6,Leverkusen,Bundesliga,2025/2026
24,7,Frankfurt,Bundesliga,2025/2026
24,8,Freiburg,Bundesliga,2025/2026
24,9,Augsburg,Bundesliga,2025/2026
24,10,Union Berlin,Bundesliga,2025/2026
24,11,Hamburg,Bundesliga,2025/2026
24,12,Mönchengladbach,Bundesliga,2025/2026
24,13,1.FC Köln,Bundesliga,2025/2026
24,14,Mainz,Bundesliga,2025/2026
24,15,St. Pauli,Bundesliga,2025/2026
24,16,Werder Bremen,Bundesliga,2025/2026
24,17,Wolfsburg,Bundesliga,2025/2026
24,18,Heidenheim,Bundesliga,2025/2026
25,1,Bayern Munich,Bundesliga,2025/2026
25,2,Dortmund,Bundesliga,2025/2026
25,3,Hoffenheim,Bundesliga,2025/2026
25,4,Stuttgart,Bundesliga,2025/2026
25,5,Leipzig,Bundesliga,2025/2026
25,6,Leverkusen,Bundesliga,2025/2026
25,7,Frankfurt,Bundesliga,2025/2026
25,8,Freiburg,Bundesliga,2025/2026
25,9,Augsburg,Bundesliga,2025/2026
25,10,Hamburg,Bundesliga,2025/2026
25,11,Union Berlin,Bundesliga,2025/2026
25,12,Mönchengladbach,Bundesliga,2025/2026
25,13,Werder Bremen,Bundesliga,2025/2026
25,14,1.FC Köln,Bundesliga,2025/2026
25,15,Mainz,Bundesliga,2025/2026
25,16,St. Pauli,Bundesliga,2025/2026
25,17,Wolfsburg,Bundesliga,2025/2026
25,18,Heidenheim,Bundesliga,2025/2026
26,1,Bayern Munich,Bundesliga,2025/2026
26,2,Dortmund,Bundesliga,2025/2026
26,3,Hoffenheim,Bundesliga,2025/2026
26,4,Stuttgart,Bundesliga,2025/2026
26,5,Leipzig,Bundesliga,2025/2026
26,6,Leverkusen,Bundesliga,2025/2026
26,7,Frankfurt,Bundesliga,2025/2026
26,8,Freiburg,Bundesliga,2025/2026
26,9,Union Berlin,Bundesliga,2025/2026
26,10,Augsburg,Bundesliga,2025/2026
26,11,Hamburg,Bundesliga,2025/2026
26,12,Mönchengladbach,Bundesliga,2025/2026
26,13,Mainz,Bundesliga,2025/2026
26,14,1.FC Köln,Bundesliga,2025/2026
26,15,Werder Bremen,Bundesliga,2025/2026
26,16,St. Pauli,Bundesliga,2025/2026
26,17,Wolfsburg,Bundesliga,2025/2026
26,18,Heidenheim,Bundesliga,2025/2026
27,1,Bayern Munich,Bundesliga,2025/2026
27,2,Dortmund,Bundesliga,2025/2026
27,3,Stuttgart,Bundesliga,2025/2026
27,4,Leipzig,Bundesliga,2025/2026
27,5,Hoffenheim,Bundesliga,2025/2026
27,6,Leverkusen,Bundesliga,2025/2026
27,7,Frankfurt,Bundesliga,2025/2026
27,8,Freiburg,Bundesliga,2025/2026
27,9,Union Berlin,Bundesliga,2025/2026
27,10,Augsburg,Bundesliga,2025/2026
27,11,Mainz,Bundesliga,2025/2026
27,12,Hamburg,Bundesliga,2025/2026
27,13,Mönchengladbach,Bundesliga,2025/2026
27,14,Werder Bremen,Bundesliga,2025/2026
27,15,1.FC Köln,Bundesliga,2025/2026
27,16,St. Pauli,Bundesliga,2025/2026
27,17,Wolfsburg,Bundesliga,2025/2026
27,18,Heidenheim,Bundesliga,2025/2026
28,1,Bayern Munich,Bundesliga,2025/2026
28,2,Dortmund,Bundesliga,2025/2026
28,3,Leipzig,Bundesliga,2025/2026
28,4,Stuttgart,Bundesliga,2025/2026
28,5,Hoffenheim,Bundesliga,2025/2026
28,6,Leverkusen,Bundesliga,2025/2026
28,7,Frankfurt,Bundesliga,2025/2026
28,8,Freiburg,Bundesliga,2025/2026
28,9,Mainz,Bundesliga,2025/2026
28,10,Union Berlin,Bundesliga,2025/2026
28,11,Augsburg,Bundesliga,2025/2026
28,12,Hamburg,Bundesliga,2025/2026
28,13,Mönchengladbach,Bundesliga,2025/2026
28,14,Werder Bremen,Bundesliga,2025/2026
28,15,1.FC Köln,Bundesliga,2025/2026
28,16,St. Pauli,Bundesliga,2025/2026
28,17,Wolfsburg,Bundesliga,2025/2026
28,18,Heidenheim,Bundesliga,2025/2026
29,1,Bayern Munich,Bundesliga,2025/2026
29,2,Dortmund,Bundesliga,2025/2026
29,3,Stuttgart,Bundesliga,2025/2026
29,4,Leipzig,Bundesliga,2025/2026
29,5,Leverkusen,Bundesliga,2025/2026
29,6,Hoffenheim,Bundesliga,2025/2026
29,7,Frankfurt,Bundesliga,2025/2026
29,8,Freiburg,Bundesliga,2025/2026
29,9,Mainz,Bundesliga,2025/2026
29,10,Augsburg,Bundesliga,2025/2026
29,11,Union Berlin,Bundesliga,2025/2026
29,12,Hamburg,Bundesliga,2025/2026
29,13,1.FC Köln,Bundesliga,2025/2026
29,14,Mönchengladbach,Bundesliga,2025/2026
29,15,Werder Bremen,Bundesliga,2025/2026
29,16,St. Pauli,Bundesliga,2025/2026
29,17,Wolfsburg,Bundesliga,2025/2026
29,18,Heidenheim,Bundesliga,2025/2026
30,1,Bayern Munich,Bundesliga,2025/2026
30,2,Dortmund,Bundesliga,2025/2026
30,3,Leipzig,Bundesliga,2025/2026
30,4,Stuttgart,Bundesliga,2025/2026
30,5,Hoffenheim,Bundesliga,2025/2026
30,6,Leverkusen,Bundesliga,2025/2026
30,7,Freiburg,Bundesliga,2025/2026
30,8,Frankfurt,Bundesliga,2025/2026
30,9,Augsburg,Bundesliga,2025/2026
30,10,Mainz,Bundesliga,2025/2026
30,11,Union Berlin,Bundesliga,2025/2026
30,12,1.FC Köln,Bundesliga,2025/2026
30,13,Mönchengladbach,Bundesliga,2025/2026
30,14,Hamburg,Bundesliga,2025/2026
30,15,Werder Bremen,Bundesliga,2025/2026
30,16,St. Pauli,Bundesliga,2025/2026
30,17,Wolfsburg,Bundesliga,2025/2026
30,18,Heidenheim,Bundesliga,2025/2026
31,1,Bayern Munich,Bundesliga,2025/2026
31,2,Dortmund,Bundesliga,2025/2026
31,3,Leipzig,Bundesliga,2025/2026
31,4,Stuttgart,Bundesliga,2025/2026
31,5,Hoffenheim,Bundesliga,2025/2026
31,6,Leverkusen,Bundesliga,2025/2026
31,7,Frankfurt,Bundesliga,2025/2026
31,8,Freiburg,Bundesliga,2025/2026
31,9,Augsburg,Bundesliga,2025/2026
31,10,Mainz,Bundesliga,2025/2026
31,11,Mönchengladbach,Bundesliga,2025/2026
31,12,Werder Bremen,Bundesliga,2025/2026
31,13,Union Berlin,Bundesliga,2025/2026
31,14,1.FC Köln,Bundesliga,2025/2026
31,15,Hamburg,Bundesliga,2025/2026
31,16,St. Pauli,Bundesliga,2025/2026
31,17,Wolfsburg,Bundesliga,2025/2026
31,18,Heidenheim,Bundesliga,2025/2026
32,1,Bayern Munich,Bundesliga,2025/2026
32,2,Dortmund,Bundesliga,2025/2026
32,3,Leipzig,Bundesliga,2025/2026
32,4,Leverkusen,Bundesliga,2025/2026
32,5,Stuttgart,Bundesliga,2025/2026
32,6,Hoffenheim,Bundesliga,2025/2026
32,7,Freiburg,Bundesliga,2025/2026
32,8,Frankfurt,Bundesliga,2025/2026
32,9,Augsburg,Bundesliga,2025/2026
32,10,Mainz,Bundesliga,2025/2026
32,11,Mönchengladbach,Bundesliga,2025/2026
32,12,Hamburg,Bundesliga,2025/2026
32,13,Union Berlin,Bundesliga,2025/2026
32,14,1.FC Köln,Bundesliga,2025/2026
32,15,Werder Bremen,Bundesliga,2025/2026
32,16,Wolfsburg,Bundesliga,2025/2026
32,17,St. Pauli,Bundesliga,2025/2026
32,18,Heidenheim,Bundesliga,2025/2026
33,1,Bayern Munich,Bundesliga,2025/2026
33,2,Dortmund,Bundesliga,2025/2026
33,3,Leipzig,Bundesliga,2025/2026
33,4,Stuttgart,Bundesliga,2025/2026
33,5,Hoffenheim,Bundesliga,2025/2026
33,6,Leverkusen,Bundesliga,2025/2026
33,7,Freiburg,Bundesliga,2025/2026
33,8,Frankfurt,Bundesliga,2025/2026
33,9,Augsburg,Bundesliga,2025/2026
33,10,Mainz,Bundesliga,2025/2026
33,11,Hamburg,Bundesliga,2025/2026
33,12,Union Berlin,Bundesliga,2025/2026
33,13,Mönchengladbach,Bundesliga,2025/2026
33,14,1.FC Köln,Bundesliga,2025/2026
33,15,Werder Bremen,Bundesliga,2025/2026
33,16,Wolfsburg,Bundesliga,2025/2026
33,17,Heidenheim,Bundesliga,2025/2026
33,18,St. Pauli,Bundesliga,2025/2026
34,1,Bayern Munich,Bundesliga,2025/2026
34,2,Dortmund,Bundesliga,2025/2026
34,3,Leipzig,Bundesliga,2025/2026
34,4,Stuttgart,Bundesliga,2025/2026
34,5,Hoffenheim,Bundesliga,2025/2026
34,6,Leverkusen,Bundesliga,2025/2026
34,7,Freiburg,Bundesliga,2025/2026
34,8,Frankfurt,Bundesliga,2025/2026
34,9,Augsburg,Bundesliga,2025/2026
34,10,Mainz,Bundesliga,2025/2026
34,11,Union Berlin,Bundesliga,2025/2026
34,12,Mönchengladbach,Bundesliga,2025/2026
34,13,Hamburg,Bundesliga,2025/2026
34,14,1.FC Köln,Bundesliga,2025/2026
34,15,Werder Bremen,Bundesliga,2025/2026
34,16,Wolfsburg,Bundesliga,2025/2026
34,17,Heidenheim,Bundesliga,2025/2026
34,18,St. Pauli,Bundesliga,2025/2026
1,1,Monaco,Ligue 1,2025/2026
1,2,PSG,Ligue 1,2025/2026
1,3,Lyon,Ligue 1,2025/2026
1,4,R. Strasbourg,Ligue 1,2025/2026
1,5,Toulouse,Ligue 1,2025/2026
1,6,AJ Auxerre,Ligue 1,2025/2026
1,7,Stade Rennais,Ligue 1,2025/2026
1,8,Angers SCO,Ligue 1,2025/2026
1,9,Lille,Ligue 1,2025/2026
1,10,Stade Brestois,Ligue 1,2025/2026
1,11,Marseille,Ligue 1,2025/2026
1,12,Nice,Ligue 1,2025/2026
1,13,Lens,Ligue 1,2025/2026
1,14,FC Nantes,Ligue 1,2025/2026
1,15,FC Lorient,Ligue 1,2025/2026
1,16,Paris FC,Ligue 1,2025/2026
1,17,FC Metz,Ligue 1,2025/2026
1,18,Le Havre AC,Ligue 1,2025/2026
2,1,Lyon,Ligue 1,2025/2026
2,2,Toulouse,Ligue 1,2025/2026
2,3,PSG,Ligue 1,2025/2026
2,4,R. Strasbourg,Ligue 1,2025/2026
2,5,Lille,Ligue 1,2025/2026
2,6,FC Lorient,Ligue 1,2025/2026
2,7,Marseille,Ligue 1,2025/2026
2,8,Nice,Ligue 1,2025/2026
2,9,Monaco,Ligue 1,2025/2026
2,10,Lens,Ligue 1,2025/2026
2,11,Angers SCO,Ligue 1,2025/2026
2,12,AJ Auxerre,Ligue 1,2025/2026
2,13,Stade Rennais,Ligue 1,2025/2026
2,14,Stade Brestois,Ligue 1,2025/2026
2,15,FC Nantes,Ligue 1,2025/2026
2,16,Le Havre AC,Ligue 1,2025/2026
2,17,Paris FC,Ligue 1,2025/2026
2,18,FC Metz,Ligue 1,2025/2026
3,1,PSG,Ligue 1,2025/2026
3,2,Lyon,Ligue 1,2025/2026
3,3,Lille,Ligue 1,2025/2026
3,4,Monaco,Ligue 1,2025/2026
3,5,Lens,Ligue 1,2025/2026
3,6,R. Strasbourg,Ligue 1,2025/2026
3,7,Toulouse,Ligue 1,2025/2026
3,8,Angers SCO,Ligue 1,2025/2026
3,9,Stade Rennais,Ligue 1,2025/2026
3,10,Marseille,Ligue 1,2025/2026
3,11,Le Havre AC,Ligue 1,2025/2026
3,12,FC Nantes,Ligue 1,2025/2026
3,13,Nice,Ligue 1,2025/2026
3,14,AJ Auxerre,Ligue 1,2025/2026
3,15,FC Lorient,Ligue 1,2025/2026
3,16,Paris FC,Ligue 1,2025/2026
3,17,Stade Brestois,Ligue 1,2025/2026
3,18,FC Metz,Ligue 1,2025/2026
4,1,PSG,Ligue 1,2025/2026
4,2,Lille,Ligue 1,2025/2026
4,3,Monaco,Ligue 1,2025/2026
4,4,Lyon,Ligue 1,2025/2026
4,5,R. Strasbourg,Ligue 1,2025/2026
4,6,Stade Rennais,Ligue 1,2025/2026
4,7,Marseille,Ligue 1,2025/2026
4,8,Lens,Ligue 1,2025/2026
4,9,Nice,Ligue 1,2025/2026
4,10,Toulouse,Ligue 1,2025/2026
4,11,Paris FC,Ligue 1,2025/2026
4,12,Angers SCO,Ligue 1,2025/2026
4,13,FC Nantes,Ligue 1,2025/2026
4,14,Le Havre AC,Ligue 1,2025/2026
4,15,AJ Auxerre,Ligue 1,2025/2026
4,16,FC Lorient,Ligue 1,2025/2026
4,17,Stade Brestois,Ligue 1,2025/2026
4,18,FC Metz,Ligue 1,2025/2026
5,1,Monaco,Ligue 1,2025/2026
5,2,PSG,Ligue 1,2025/2026
5,3,Lyon,Ligue 1,2025/2026
5,4,R. Strasbourg,Ligue 1,2025/2026
5,5,Lille,Ligue 1,2025/2026
5,6,Marseille,Ligue 1,2025/2026
5,7,Lens,Ligue 1,2025/2026
5,8,Stade Rennais,Ligue 1,2025/2026
5,9,Toulouse,Ligue 1,2025/2026
5,10,AJ Auxerre,Ligue 1,2025/2026
5,11,Nice,Ligue 1,2025/2026
5,12,Paris FC,Ligue 1,2025/2026
5,13,Angers SCO,Ligue 1,2025/2026
5,14,Le Havre AC,Ligue 1,2025/2026
5,15,Stade Brestois,Ligue 1,2025/2026
5,16,FC Nantes,Ligue 1,2025/2026
5,17,FC Lorient,Ligue 1,2025/2026
5,18,FC Metz,Ligue 1,2025/2026
6,1,PSG,Ligue 1,2025/2026
6,2,Lyon,Ligue 1,2025/2026
6,3,Marseille,Ligue 1,2025/2026
6,4,Monaco,Ligue 1,2025/2026
6,5,R. Strasbourg,Ligue 1,2025/2026
6,6,Lille,Ligue 1,2025/2026
6,7,Lens,Ligue 1,2025/2026
6,8,Stade Rennais,Ligue 1,2025/2026
6,9,Stade Brestois,Ligue 1,2025/2026
6,10,Toulouse,Ligue 1,2025/2026
6,11,Paris FC,Ligue 1,2025/2026
6,12,Nice,Ligue 1,2025/2026
6,13,FC Lorient,Ligue 1,2025/2026
6,14,AJ Auxerre,Ligue 1,2025/2026
6,15,FC Nantes,Ligue 1,2025/2026
6,16,Le Havre AC,Ligue 1,2025/2026
6,17,Angers SCO,Ligue 1,2025/2026
6,18,FC Metz,Ligue 1,2025/2026
7,1,PSG,Ligue 1,2025/2026
7,2,Marseille,Ligue 1,2025/2026
7,3,R. Strasbourg,Ligue 1,2025/2026
7,4,Lyon,Ligue 1,2025/2026
7,5,Monaco,Ligue 1,2025/2026
7,6,Lens,Ligue 1,2025/2026
7,7,Lille,Ligue 1,2025/2026
7,8,Toulouse,Ligue 1,2025/2026
7,9,Stade Rennais,Ligue 1,2025/2026
7,10,Paris FC,Ligue 1,2025/2026
7,11,Stade Brestois,Ligue 1,2025/2026
7,12,Nice,Ligue 1,2025/2026
7,13,FC Lorient,Ligue 1,2025/2026
7,14,FC Nantes,Ligue 1,2025/2026
7,15,Le Havre AC,Ligue 1,2025/2026
7,16,AJ Auxerre,Ligue 1,2025/2026
7,17,Angers SCO,Ligue 1,2025/2026
7,18,FC Metz,Ligue 1,2025/2026
8,1,Marseille,Ligue 1,2025/2026
8,2,PSG,Ligue 1,2025/2026
8,3,R. Strasbourg,Ligue 1,2025/2026
8,4,Lens,Ligue 1,2025/2026
8,5,Lyon,Ligue 1,2025/2026
8,6,Lille,Ligue 1,2025/2026
8,7,Monaco,Ligue 1,2025/2026
8,8,Toulouse,Ligue 1,2025/2026
8,9,Stade Rennais,Ligue 1,2025/2026
8,10,Nice,Ligue 1,2025/2026
8,11,Paris FC,Ligue 1,2025/2026
8,12,Stade Brestois,Ligue 1,2025/2026
8,13,FC Lorient,Ligue 1,2025/2026
8,14,AJ Auxerre,Ligue 1,2025/2026
8,15,FC Nantes,Ligue 1,2025/2026
8,16,Le Havre AC,Ligue 1,2025/2026
8,17,Angers SCO,Ligue 1,2025/2026
8,18,FC Metz,Ligue 1,2025/2026
9,1,PSG,Ligue 1,2025/2026
9,2,Lens,Ligue 1,2025/2026
9,3,Marseille,Ligue 1,2025/2026
9,4,Lyon,Ligue 1,2025/2026
9,5,Lille,Ligue 1,2025/2026
9,6,Monaco,Ligue 1,2025/2026
9,7,R. Strasbourg,Ligue 1,2025/2026
9,8,Nice,Ligue 1,2025/2026
9,9,Toulouse,Ligue 1,2025/2026
9,10,Stade Rennais,Ligue 1,2025/2026
9,11,Paris FC,Ligue 1,2025/2026
9,12,Stade Brestois,Ligue 1,2025/2026
9,13,FC Nantes,Ligue 1,2025/2026
9,14,Le Havre AC,Ligue 1,2025/2026
9,15,Angers SCO,Ligue 1,2025/2026
9,16,FC Lorient,Ligue 1,2025/2026
9,17,AJ Auxerre,Ligue 1,2025/2026
9,18,FC Metz,Ligue 1,2025/2026
10,1,PSG,Ligue 1,2025/2026
10,2,Monaco,Ligue 1,2025/2026
10,3,Marseille,Ligue 1,2025/2026
10,4,R. Strasbourg,Ligue 1,2025/2026
10,5,Lyon,Ligue 1,2025/2026
10,6,Lens,Ligue 1,2025/2026
10,7,Lille,Ligue 1,2025/2026
10,8,Nice,Ligue 1,2025/2026
10,9,Toulouse,Ligue 1,2025/2026
10,10,Stade Rennais,Ligue 1,2025/2026
10,11,Le Havre AC,Ligue 1,2025/2026
10,12,Paris FC,Ligue 1,2025/2026
10,13,Angers SCO,Ligue 1,2025/2026
10,14,Stade Brestois,Ligue 1,2025/2026
10,15,FC Nantes,Ligue 1,2025/2026
10,16,FC Lorient,Ligue 1,2025/2026
10,17,AJ Auxerre,Ligue 1,2025/2026
10,18,FC Metz,Ligue 1,2025/2026
11,1,PSG,Ligue 1,2025/2026
11,2,Marseille,Ligue 1,2025/2026
11,3,Lens,Ligue 1,2025/2026
11,4,Lille,Ligue 1,2025/2026
11,5,Monaco,Ligue 1,2025/2026
11,6,Lyon,Ligue 1,2025/2026
11,7,R. Strasbourg,Ligue 1,2025/2026
11,8,Nice,Ligue 1,2025/2026
11,9,Toulouse,Ligue 1,2025/2026
11,10,Stade Rennais,Ligue 1,2025/2026
11,11,Paris FC,Ligue 1,2025/2026
11,12,Le Havre AC,Ligue 1,2025/2026
11,13,Stade Brestois,Ligue 1,2025/2026
11,14,Angers SCO,Ligue 1,2025/2026
11,15,FC Nantes,Ligue 1,2025/2026
11,16,FC Lorient,Ligue 1,2025/2026
11,17,FC Metz,Ligue 1,2025/2026
11,18,AJ Auxerre,Ligue 1,2025/2026
12,1,PSG,Ligue 1,2025/2026
12,2,Marseille,Ligue 1,2025/2026
12,3,Lens,Ligue 1,2025/2026
12,4,R. Strasbourg,Ligue 1,2025/2026
12,5,Lille,Ligue 1,2025/2026
12,6,Lyon,Ligue 1,2025/2026
12,7,Monaco,Ligue 1,2025/2026
12,8,Stade Rennais,Ligue 1,2025/2026
12,9,Nice,Ligue 1,2025/2026
12,10,Toulouse,Ligue 1,2025/2026
12,11,Paris FC,Ligue 1,2025/2026
12,12,Le Havre AC,Ligue 1,2025/2026
12,13,Angers SCO,Ligue 1,2025/2026
12,14,FC Metz,Ligue 1,2025/2026
12,15,Stade Brestois,Ligue 1,2025/2026
12,16,FC Nantes,Ligue 1,2025/2026
12,17,FC Lorient,Ligue 1,2025/2026
12,18,AJ Auxerre,Ligue 1,2025/2026
13,1,PSG,Ligue 1,2025/2026
13,2,Marseille,Ligue 1,2025/2026
13,3,Lens,Ligue 1,2025/2026
13,4,Lille,Ligue 1,2025/2026
13,5,R. Strasbourg,Ligue 1,2025/2026
13,6,Stade Rennais,Ligue 1,2025/2026
13,7,Lyon,Ligue 1,2025/2026
13,8,Monaco,Ligue 1,2025/2026
13,9,Nice,Ligue 1,2025/2026
13,10,Toulouse,Ligue 1,2025/2026
13,11,Angers SCO,Ligue 1,2025/2026
13,12,Paris FC,Ligue 1,2025/2026
13,13,Le Havre AC,Ligue 1,2025/2026
13,14,Stade Brestois,Ligue 1,2025/2026
13,15,FC Nantes,Ligue 1,2025/2026
13,16,FC Lorient,Ligue 1,2025/2026
13,17,FC Metz,Ligue 1,2025/2026
13,18,AJ Auxerre,Ligue 1,2025/2026
14,1,Lens,Ligue 1,2025/2026
14,2,PSG,Ligue 1,2025/2026
14,3,Marseille,Ligue 1,2025/2026
14,4,Lille,Ligue 1,2025/2026
14,5,Stade Rennais,Ligue 1,2025/2026
14,6,Lyon,Ligue 1,2025/2026
14,7,Monaco,Ligue 1,2025/2026
14,8,R. Strasbourg,Ligue 1,2025/2026
14,9,Toulouse,Ligue 1,2025/2026
14,10,Nice,Ligue 1,2025/2026
14,11,Stade Brestois,Ligue 1,2025/2026
14,12,Angers SCO,Ligue 1,2025/2026
14,13,Paris FC,Ligue 1,2025/2026
14,14,Le Havre AC,Ligue 1,2025/2026
14,15,FC Lorient,Ligue 1,2025/2026
14,16,FC Nantes,Ligue 1,2025/2026
14,17,FC Metz,Ligue 1,2025/2026
14,18,AJ Auxerre,Ligue 1,2025/2026
15,1,Lens,Ligue 1,2025/2026
15,2,PSG,Ligue 1,2025/2026
15,3,Marseille,Ligue 1,2025/2026
15,4,Lille,Ligue 1,2025/2026
15,5,Lyon,Ligue 1,2025/2026
15,6,Stade Rennais,Ligue 1,2025/2026
15,7,Monaco,Ligue 1,2025/2026
15,8,R. Strasbourg,Ligue 1,2025/2026
15,9,Toulouse,Ligue 1,2025/2026
15,10,Stade Brestois,Ligue 1,2025/2026
15,11,Angers SCO,Ligue 1,2025/2026
15,12,Nice,Ligue 1,2025/2026
15,13,FC Lorient,Ligue 1,2025/2026
15,14,Paris FC,Ligue 1,2025/2026
15,15,Le Havre AC,Ligue 1,2025/2026
15,16,AJ Auxerre,Ligue 1,2025/2026
15,17,FC Nantes,Ligue 1,2025/2026
15,18,FC Metz,Ligue 1,2025/2026
16,1,Lens,Ligue 1,2025/2026
16,2,PSG,Ligue 1,2025/2026
16,3,Marseille,Ligue 1,2025/2026
16,4,Lille,Ligue 1,2025/2026
16,5,Lyon,Ligue 1,2025/2026
16,6,Stade Rennais,Ligue 1,2025/2026
16,7,Toulouse,Ligue 1,2025/2026
16,8,R. Strasbourg,Ligue 1,2025/2026
16,9,Monaco,Ligue 1,2025/2026
16,10,Angers SCO,Ligue 1,2025/2026
16,11,Stade Brestois,Ligue 1,2025/2026
16,12,FC Lorient,Ligue 1,2025/2026
16,13,Nice,Ligue 1,2025/2026
16,14,Paris FC,Ligue 1,2025/2026
16,15,Le Havre AC,Ligue 1,2025/2026
16,16,AJ Auxerre,Ligue 1,2025/2026
16,17,FC Nantes,Ligue 1,2025/2026
16,18,FC Metz,Ligue 1,2025/2026
17,1,Lens,Ligue 1,2025/2026
17,2,PSG,Ligue 1,2025/2026
17,3,Marseille,Ligue 1,2025/2026
17,4,Lille,Ligue 1,2025/2026
17,5,Lyon,Ligue 1,2025/2026
17,6,Stade Rennais,Ligue 1,2025/2026
17,7,R. Strasbourg,Ligue 1,2025/2026
17,8,Toulouse,Ligue 1,2025/2026
17,9,Monaco,Ligue 1,2025/2026
17,10,Angers SCO,Ligue 1,2025/2026
17,11,Stade Brestois,Ligue 1,2025/2026
17,12,FC Lorient,Ligue 1,2025/2026
17,13,Le Havre AC,Ligue 1,2025/2026
17,14,Nice,Ligue 1,2025/2026
17,15,Paris FC,Ligue 1,2025/2026
17,16,FC Nantes,Ligue 1,2025/2026
17,17,AJ Auxerre,Ligue 1,2025/2026
17,18,FC Metz,Ligue 1,2025/2026
18,1,Lens,Ligue 1,2025/2026
18,2,PSG,Ligue 1,2025/2026
18,3,Marseille,Ligue 1,2025/2026
18,4,Lyon,Ligue 1,2025/2026
18,5,Lille,Ligue 1,2025/2026
18,6,Stade Rennais,Ligue 1,2025/2026
18,7,R. Strasbourg,Ligue 1,2025/2026
18,8,Toulouse,Ligue 1,2025/2026
18,9,Monaco,Ligue 1,2025/2026
18,10,Stade Brestois,Ligue 1,2025/2026
18,11,Angers SCO,Ligue 1,2025/2026
18,12,FC Lorient,Ligue 1,2025/2026
18,13,Le Havre AC,Ligue 1,2025/2026
18,14,Paris FC,Ligue 1,2025/2026
18,15,Nice,Ligue 1,2025/2026
18,16,FC Nantes,Ligue 1,2025/2026
18,17,AJ Auxerre,Ligue 1,2025/2026
18,18,FC Metz,Ligue 1,2025/2026
19,1,PSG,Ligue 1,2025/2026
19,2,Lens,Ligue 1,2025/2026
19,3,Marseille,Ligue 1,2025/2026
19,4,Lyon,Ligue 1,2025/2026
19,5,Lille,Ligue 1,2025/2026
19,6,Stade Rennais,Ligue 1,2025/2026
19,7,R. Strasbourg,Ligue 1,2025/2026
19,8,Toulouse,Ligue 1,2025/2026
19,9,FC Lorient,Ligue 1,2025/2026
19,10,Monaco,Ligue 1,2025/2026
19,11,Angers SCO,Ligue 1,2025/2026
19,12,Stade Brestois,Ligue 1,2025/2026
19,13,Nice,Ligue 1,2025/2026
19,14,Le Havre AC,Ligue 1,2025/2026
19,15,Paris FC,Ligue 1,2025/2026
19,16,FC Nantes,Ligue 1,2025/2026
19,17,AJ Auxerre,Ligue 1,2025/2026
19,18,FC Metz,Ligue 1,2025/2026
20,1,PSG,Ligue 1,2025/2026
20,2,Lens,Ligue 1,2025/2026
20,3,Marseille,Ligue 1,2025/2026
20,4,Lyon,Ligue 1,2025/2026
20,5,Lille,Ligue 1,2025/2026
20,6,Stade Rennais,Ligue 1,2025/2026
20,7,Toulouse,Ligue 1,2025/2026
20,8,R. Strasbourg,Ligue 1,2025/2026
20,9,FC Lorient,Ligue 1,2025/2026
20,10,Monaco,Ligue 1,2025/2026
20,11,Angers SCO,Ligue 1,2025/2026
20,12,Stade Brestois,Ligue 1,2025/2026
