matchweek,position,team,league,season
29,6,Celta de Vigo,LaLiga,2025/2026
29,7,Real Sociedad,LaLiga,2025/2026
29,8,Getafe,LaLiga,2025/2026
29,9,Athletic Club,LaLiga,2025/2026
29,10,Espanyol,LaLiga,2025/2026
29,11,CA Osasuna,LaLiga,2025/2026
29,12,Valencia,LaLiga,2025/2026
29,13,Girona,LaLiga,2025/2026
29,14,Rayo Vallecano,LaLiga,2025/2026
29,15,Sevilla FC,LaLiga,2025/2026
29,16,Alavés,LaLiga,2025/2026
29,17,Elche CF,LaLiga,2025/2026
29,18,RCD Mallorca,LaLiga,2025/2026
29,19,Levante,LaLiga,2025/2026
29,20,Real Oviedo,LaLiga,2025/2026
30,1,Barcelona,LaLiga,2025/2026
30,2,Real Madrid,LaLiga,2025/2026
30,3,Villarreal,LaLiga,2025/2026
30,4,Atlético,LaLiga,2025/2026
30,5,Real Betis,LaLiga,2025/2026
30,6,Celta de Vigo,LaLiga,2025/2026
30,7,Real Sociedad,LaLiga,2025/2026
30,8,Getafe,LaLiga,2025/2026
30,9,Espanyol,LaLiga,2025/2026
30,10,CA Osasuna,LaLiga,2025/2026
30,11,Athletic Club,LaLiga,2025/2026
30,12,Girona,LaLiga,2025/2026
30,13,Rayo Vallecano,LaLiga,2025/2026
30,14,Valencia,LaLiga,2025/2026
30,15,Alavés,LaLiga,2025/2026
30,16,RCD Mallorca,LaLiga,2025/2026
30,17,Sevilla FC,LaLiga,2025/2026
30,18,Elche CF,LaLiga,2025/2026
30,19,Levante,LaLiga,2025/2026
30,20,Real Oviedo,LaLiga,2025/2026
31,1,Barcelona,LaLiga,2025/2026
31,2,Real Madrid,LaLiga,2025/2026
31,3,Villarreal,LaLiga,2025/2026
31,4,Atlético,LaLiga,2025/2026
31,5,Real Betis,LaLiga,2025/2026
31,6,Celta de Vigo,LaLiga,2025/2026
31,7,Real Sociedad,LaLiga,2025/2026
31,8,Getafe,LaLiga,2025/2026
31,9,CA Osasuna,LaLiga,2025/2026
31,10,Girona,LaLiga,2025/2026
31,11,Espanyol,LaLiga,2025/2026
31,12,Athletic Club,LaLiga,2025/2026
31,13,Rayo Vallecano,LaLiga,2025/2026
31,14,Valencia,LaLiga,2025/2026
31,15,RCD Mallorca,LaLiga,2025/2026
31,16,Sevilla FC,LaLiga,2025/2026
31,17,Alavés,LaLiga,2025/2026
