name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Manchester United,Man United,10260,https://www.fotmob.com/teams/10260/overview/manchester-united,https://images.fotmob.com/image_resources/logo/teamlogo/10260.png,2026/2027,47,Premier League,ENG,Old Trafford,Manchester,53.463094458,-2.291373610,Grass,74244,1910,https://cdn.resfu.com/img_data/estadios/original_new/50.jpg?size=720x432c&lossy=1
Newcastle United,Newcastle,10261,https://www.fotmob.com/teams/10261/overview/newcastle-united,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png,2026/2027,47,Premier League,ENG,St. James' Park,Newcastle upon Tyne,54.975540166,-1.621620655,Grass,52264,1892,https://cdn.resfu.com/img_data/estadios/original_new/184.jpg?size=720x432c&lossy=1
Nottingham Forest,Nottm Forest,10203,https://www.fotmob.com/teams/10203/overview/nottingham-forest,https://images.fotmob.com/image_resources/logo/teamlogo/10203.png,2026/2027,47,Premier League,ENG,The City Ground,"Nottingham, Nottinghamshire",52.939913226,-1.132894009,Grass,31042,1898,https://cdn.resfu.com/img_data/estadios/original_new/433.jpg?size=720x432c&lossy=1
Sunderland,Sunderland,8472,https://www.fotmob.com/teams/8472/overview/sunderland,https://images.fotmob.com/image_resources/logo/teamlogo/8472.png,2026/2027,47,Premier League,ENG,Stadium of Light,Sunderland,54.914421504,-1.388177276,Grass,49000,1997,https://cdn.resfu.com/img_data/estadios/original_new/1293.jpg?size=720x432c&lossy=1
Tottenham Hotspur,Tottenham,8586,https://www.fotmob.com/teams/8586/overview/tottenham-hotspur,https://images.fotmob.com/image_resources/logo/teamlogo/8586.png,2026/2027,47,Premier League,ENG,Tottenham Hotspur Stadium,London,51.604216666,-0.066229079,Grass,62850,2019,https://cdn.resfu.com/img_data/estadios/original_new/51.jpg?size=720x432c&lossy=1
Angers,Angers,8121,https://www.fotmob.com/teams/8121/overview/angers,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png,2026/2027,53,Ligue 1,FRA,Stade Raymond Kopa,Angers,47.460412695,-0.530776978,Grass,19000,1912,https://cdn.resfu.com/img_data/estadios/original_new/222.jpg?size=720x432c&lossy=1
Auxerre,Auxerre,8583,https://www.fotmob.com/teams/8583/overview/auxerre,https://images.fotmob.com/image_resources/logo/teamlogo/8583.png,2026/2027,53,Ligue 1,FRA,Stade de l'Abbé Deschamps,Auxerre,47.786835355,3.588516712,Grass,17897,1918,https://cdn.resfu.com/img_data/estadios/original_new/583.jpg?size=720x432c&lossy=1
Brest,Brest,8521,https://www.fotmob.com/teams/8521/overview/brest,https://images.fotmob.com/image_resources/logo/teamlogo/8521.png,2026/2027,53,Ligue 1,FRA,Stade Francis-Le Blé,Brest,48.402881677,-4.461457729,Grass,15931,1922,https://cdn.resfu.com/img_data/estadios/original_new/462.jpg?size=720x432c&lossy=1
Le Havre,Le Havre,9746,https://www.fotmob.com/teams/9746/overview/le-havre,https://images.fotmob.com/image_resources/logo/teamlogo/9746.png,2026/2027,53,Ligue 1,FRA,Stade Océane,Le Havre,49.498869432,0.169708751,Grass,25178,2012,https://cdn.resfu.com/img_data/estadios/original_new/472.jpg?size=720x432c&lossy=1
Le Mans,Le Mans,8682,https://www.fotmob.com/teams/8682/overview/le-mans,https://images.fotmob.com/image_resources/logo/teamlogo/8682.png,2026/2027,53,Ligue 1,FRA,Stade Marie-Marvingt,Le Mans,47.959223534,0.223524570,Grass,25064,2011,https://cdn.resfu.com/img_data/estadios/original_new/2043.jpg?size=720x432c&lossy=1
